COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05670,San Roque,AMBOS SEXOS,2018,"21,519"
5,Antioquia,05670,San Roque,HOMBRES,2018,"10,864"
5,Antioquia,05670,San Roque,MUJERES,2018,"10,655"
5,Antioquia,05674,San Vicente,AMBOS SEXOS,2018,"22,093"
5,Antioquia,05674,San Vicente,HOMBRES,2018,"11,389"
5,Antioquia,05674,San Vicente,MUJERES,2018,"10,704"
5,Antioquia,05679,Santa Bárbara,AMBOS SEXOS,2018,"26,784"
5,Antioquia,05679,Santa Bárbara,HOMBRES,2018,"13,265"
5,Antioquia,05679,Santa Bárbara,MUJERES,2018,"13,519"
5,Antioquia,05686,Santa Rosa de Osos,AMBOS SEXOS,2018,"36,318"
5,Antioquia,05686,Santa Rosa de Osos,HOMBRES,2018,"18,060"
5,Antioquia,05686,Santa Rosa de Osos,MUJERES,2018,"18,258"
5,Antioquia,05690,Santo Domingo,AMBOS SEXOS,2018,"12,394"
5,Antioquia,05690,Santo Domingo,HOMBRES,2018,"6,389"
5,Antioquia,05690,Santo Domingo,MUJERES,2018,"6,005"
5,Antioquia,05697,El Santuario,AMBOS SEXOS,2018,"35,422"
5,Antioquia,05697,El Santuario,HOMBRES,2018,"16,934"
5,Antioquia,05697,El Santuario,MUJERES,2018,"18,488"
5,Antioquia,05736,Segovia,AMBOS SEXOS,2018,"37,900"
5,Antioquia,05736,Segovia,HOMBRES,2018,"18,961"
5,Antioquia,05736,Segovia,MUJERES,2018,"18,939"
5,Antioquia,05756,Sonson,AMBOS SEXOS,2018,"36,321"
5,Antioquia,05756,Sonson,HOMBRES,2018,"18,210"
5,Antioquia,05756,Sonson,MUJERES,2018,"18,111"
5,Antioquia,05761,Sopetrán,AMBOS SEXOS,2018,"15,053"
5,Antioquia,05761,Sopetrán,HOMBRES,2018,"7,537"
5,Antioquia,05761,Sopetrán,MUJERES,2018,"7,516"
5,Antioquia,05789,Támesis,AMBOS SEXOS,2018,"16,281"
5,Antioquia,05789,Támesis,HOMBRES,2018,"8,167"
5,Antioquia,05789,Támesis,MUJERES,2018,"8,114"
5,Antioquia,05790,Tarazá,AMBOS SEXOS,2018,"26,964"
5,Antioquia,05790,Tarazá,HOMBRES,2018,"13,327"
5,Antioquia,05790,Tarazá,MUJERES,2018,"13,637"
5,Antioquia,05792,Tarso,AMBOS SEXOS,2018,"6,184"
5,Antioquia,05792,Tarso,HOMBRES,2018,"3,089"
5,Antioquia,05792,Tarso,MUJERES,2018,"3,095"
5,Antioquia,05809,Titiribí,AMBOS SEXOS,2018,"10,775"
5,Antioquia,05809,Titiribí,HOMBRES,2018,"5,298"
5,Antioquia,05809,Titiribí,MUJERES,2018,"5,477"
5,Antioquia,05819,Toledo,AMBOS SEXOS,2018,"4,993"
5,Antioquia,05819,Toledo,HOMBRES,2018,"2,630"
5,Antioquia,05819,Toledo,MUJERES,2018,"2,363"
5,Antioquia,05837,Turbo,AMBOS SEXOS,2018,"124,552"
5,Antioquia,05837,Turbo,HOMBRES,2018,"59,932"
5,Antioquia,05837,Turbo,MUJERES,2018,"64,620"
5,Antioquia,05842,Uramita,AMBOS SEXOS,2018,"6,888"
5,Antioquia,05842,Uramita,HOMBRES,2018,"3,539"
5,Antioquia,05842,Uramita,MUJERES,2018,"3,349"
5,Antioquia,05847,Urrao,AMBOS SEXOS,2018,"30,127"
5,Antioquia,05847,Urrao,HOMBRES,2018,"14,981"
5,Antioquia,05847,Urrao,MUJERES,2018,"15,146"
5,Antioquia,05854,Valdivia,AMBOS SEXOS,2018,"13,801"
5,Antioquia,05854,Valdivia,HOMBRES,2018,"6,895"
5,Antioquia,05854,Valdivia,MUJERES,2018,"6,906"
5,Antioquia,05856,Valparaíso,AMBOS SEXOS,2018,"6,498"
5,Antioquia,05856,Valparaíso,HOMBRES,2018,"3,294"
5,Antioquia,05856,Valparaíso,MUJERES,2018,"3,204"
5,Antioquia,05858,Vegachí,AMBOS SEXOS,2018,"11,810"
5,Antioquia,05858,Vegachí,HOMBRES,2018,"5,842"
5,Antioquia,05858,Vegachí,MUJERES,2018,"5,968"
5,Antioquia,05861,Venecia,AMBOS SEXOS,2018,"11,602"
5,Antioquia,05861,Venecia,HOMBRES,2018,"5,690"
5,Antioquia,05861,Venecia,MUJERES,2018,"5,912"
